path,file_name,leaf_weight,img_path,meta_path,EC관측치_sum,최근분무량_sum,총추정광량_sum,백색광추정광량_sum,적색광추정광량_sum,청색광추정광량_sum,내부온도관측치_mean,내부온도관측치_min,내부습도관측치_mean,내부습도관측치_min,CO2관측치_mean,최근분무량_mean,true_pixel
CASE23,CASE23_01,51.392,data/train/CASE23/image/CASE23_01,data/train/CASE23/meta/CASE23_01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2670546
CASE23,CASE23_02,61.783,data/train/CASE23/image/CASE23_02,data/train/CASE23/meta/CASE23_02,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2954526
CASE23,CASE23_03,123.205,data/train/CASE23/image/CASE23_03,data/train/CASE23/meta/CASE23_03,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,3445111
CASE23,CASE23_04,169.785,data/train/CASE23/image/CASE23_04,data/train/CASE23/meta/CASE23_04,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,3766132
CASE23,CASE23_05,192.064,data/train/CASE23/image/CASE23_05,data/train/CASE23/meta/CASE23_05,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,4253758
CASE23,CASE23_06,180.948,data/train/CASE23/image/CASE23_06,data/train/CASE23/meta/CASE23_06,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,4021210
CASE23,CASE23_07,182.016,data/train/CASE23/image/CASE23_07,data/train/CASE23/meta/CASE23_07,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,4967530
CASE23,CASE23_08,178.35,data/train/CASE23/image/CASE23_08,data/train/CASE23/meta/CASE23_08,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,4978678
CASE23,CASE23_09,207.206,data/train/CASE23/image/CASE23_09,data/train/CASE23/meta/CASE23_09,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,4629067
CASE30,CASE30_01,0.0,data/train/CASE30/image/CASE30_01,data/train/CASE30/meta/CASE30_01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,14
CASE30,CASE30_02,0.39,data/train/CASE30/image/CASE30_02,data/train/CASE30/meta/CASE30_02,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0
CASE30,CASE30_03,0.856,data/train/CASE30/image/CASE30_03,data/train/CASE30/meta/CASE30_03,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0
CASE30,CASE30_04,1.361,data/train/CASE30/image/CASE30_04,data/train/CASE30/meta/CASE30_04,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,143
CASE30,CASE30_05,1.748,data/train/CASE30/image/CASE30_05,data/train/CASE30/meta/CASE30_05,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,117
CASE30,CASE30_06,2.249,data/train/CASE30/image/CASE30_06,data/train/CASE30/meta/CASE30_06,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1660
CASE30,CASE30_07,3.368,data/train/CASE30/image/CASE30_07,data/train/CASE30/meta/CASE30_07,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,9527
CASE30,CASE30_08,5.498,data/train/CASE30/image/CASE30_08,data/train/CASE30/meta/CASE30_08,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,63322
CASE30,CASE30_09,7.606,data/train/CASE30/image/CASE30_09,data/train/CASE30/meta/CASE30_09,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,122317
CASE30,CASE30_10,11.277,data/train/CASE30/image/CASE30_10,data/train/CASE30/meta/CASE30_10,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,95338
CASE30,CASE30_11,14.305,data/train/CASE30/image/CASE30_11,data/train/CASE30/meta/CASE30_11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,288787
CASE20,CASE20_01,1.01,data/train/CASE20/image/CASE20_01,data/train/CASE20/meta/CASE20_01,1025.1151973841547,616.9941805555557,269055.4514,218474.40099999998,19279.2474,31301.803000000004,25.279583164718375,19.2999992370605,57.502777682410304,50.7999992370605,786.0413194444444,616.9941805555557,4091
CASE20,CASE20_02,1.399,data/train/CASE20/image/CASE20_02,data/train/CASE20/meta/CASE20_02,386.81131967528944,556.7009722222222,269073.5022,218548.6594,19238.7048,31286.138000000003,25.287499871518833,19.2999992370605,57.22402774360441,50.5,784.5538194444445,556.7009722222222,5047
CASE20,CASE20_03,1.91,data/train/CASE20/image/CASE20_03,data/train/CASE20/meta/CASE20_03,78.79123784787946,616.1521666666666,269054.60015,218539.37709999998,19234.5678,31280.655250000003,25.385937438408494,18.7999992370605,57.02572918732957,50.4000015258789,779.4840277777778,616.1521666666666,4660
CASE20,CASE20_04,2.991,data/train/CASE20/image/CASE20_04,data/train/CASE20/meta/CASE20_04,78.31048172712318,530.0052291666667,269100.08305,218499.1538,19270.146,31330.78325,25.47520823876059,19.5,57.73128470712234,50.9000015258789,782.2201388888889,530.0052291666667,3833
CASE20,CASE20_05,3.811,data/train/CASE20/image/CASE20_05,data/train/CASE20/meta/CASE20_05,741.9834845244874,629.5394166666666,269050.16315000004,218458.93050000002,19279.2474,31311.98525,25.73184713416627,19.8999996185302,59.78514885010821,46.8400532547384,793.1107638888915,629.5394166666666,2716
CASE20,CASE20_06,5.259,data/train/CASE20/image/CASE20_06,data/train/CASE20/meta/CASE20_06,1019.4824966371066,436.84639583333336,269002.9968,218462.02459999998,19276.7652,31264.207000000002,25.4545832223362,19.6000003814697,61.611805562178255,54.599998474121,785.4038194444445,436.84639583333336,6234
CASE20,CASE20_07,6.911,data/train/CASE20/image/CASE20_07,data/train/CASE20/meta/CASE20_07,1023.8349387645717,580.3468124999999,269076.88565,218506.88904999997,19277.592600000004,31292.404000000002,25.73902766704555,20.6000003814697,63.54490433807187,57.2000007629394,791.0440277777819,580.3468124999999,17421
CASE20,CASE20_08,9.561,data/train/CASE20/image/CASE20_08,data/train/CASE20/meta/CASE20_08,1025.1416201293464,494.9020138888889,269037.07225,218520.8125,19224.639,31291.620750000002,25.398611040910044,20.2999992370605,65.61977077563867,59.2999992370605,801.378125,494.9020138888889,30335
CASE20,CASE20_09,13.555,data/train/CASE20/image/CASE20_09,data/train/CASE20/meta/CASE20_09,949.5548229366565,621.9720902777779,269114.91969999997,218564.12989999997,19255.252800000002,31295.537,25.683923485543946,20.7999992370605,65.87940971321528,61.599998474121,782.434375,621.9720902777779,43775
CASE20,CASE20_10,18.565,data/train/CASE20/image/CASE20_10,data/train/CASE20/meta/CASE20_10,273.16262812360867,605.6296597222223,269084.35349999997,218506.88905,19256.0802,31321.38425,25.531597129503844,19.7999992370605,68.43951380517746,65.0,781.8888888888889,605.6296597222223,63376
