path,file_name,leaf_weight,img_path,meta_path,EC관측치_sum,최근분무량_sum,총추정광량_sum,백색광추정광량_sum,적색광추정광량_sum,청색광추정광량_sum,내부온도관측치_mean,내부온도관측치_min,내부습도관측치_mean,내부습도관측치_min,CO2관측치_mean,최근분무량_mean,true_pixel,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
CASE23,CASE23_01,51.392,data/train/CASE23/image/CASE23_01,data/train/CASE23/meta/CASE23_01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2670546,34.69708,-37.814266,0.34408852,4.016518,17.993313,28.832209,-19.82145,-21.558064,8.353566,-20.107845,-14.312489,27.243938,-13.596273,-24.26334,-0.032785907,0.22537863,33.716244,-1.216116,0.05223749,17.029041,-33.39111,30.88796,14.794233,-0.11831141,24.371176,-0.022692768,-3.6525102,30.921896,-0.07389838,-0.02820775,-6.7325554,-32.003185,-27.773342,-9.813489,20.971067,-8.412209,20.348028,-24.339254,-30.949486,29.652988,-1.0793266,-23.302181,19.556776,-29.456532,30.371908,-20.776142,-28.100237,-20.232857,-26.622286,22.098799,-30.425966,0.14450905,0.6858981,30.123144,34.3773,-18.972101,-0.055557944,11.3704,10.674722,25.759026,-14.1545515,-11.831103,17.446936,8.616982,28.931864,-0.04801554,0.22393446,-27.062765,-39.28075,22.440023,-0.10415073,-25.978209,-11.159645,-9.737359,12.582877,0.09357635,18.602392,8.229451,12.605024,-0.122074425,-0.40363947,-19.995832,9.710575,-5.249105,12.512409,26.447495,-33.69647,-23.278854,-25.522818,-11.380725,23.329988,-18.623587,5.438189,35.72558,-24.828856,6.349075,-20.118248,9.06444,12.200298,-0.72363836,-0.049189776,17.58484,-13.733685,0.039071407,-30.920523,-10.533209,25.59158,18.23102,-0.17683677,22.880495,20.293734,-16.518532,-21.678131,-18.020103,-0.09011809,20.73635,34.871796,-0.15592402,-13.865261,-32.34591,29.169815,0.037698302,-29.464588,-23.163666,-0.04904357,22.150814,0.455513,-32.739838
CASE23,CASE23_02,61.783,data/train/CASE23/image/CASE23_02,data/train/CASE23/meta/CASE23_02,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2954526,33.560444,-36.616817,0.27731797,3.8972583,17.413439,27.891912,-19.236696,-20.850485,8.123982,-19.216099,-13.772888,26.26253,-13.08496,-23.594555,0.21614777,0.27250195,32.56913,-1.192528,0.008570965,16.568577,-32.389538,29.922068,14.240323,-0.093797706,23.596943,0.01595665,-3.5210478,30.005192,0.054301884,-0.15939085,-6.4365273,-30.975096,-26.898504,-9.614342,20.32868,-8.133142,19.846693,-23.416368,-29.839054,28.759562,-1.0389954,-22.426582,18.920162,-28.44089,29.47035,-20.126163,-27.212069,-19.544155,-25.655746,21.31066,-29.474216,0.073795125,0.6648994,29.26559,33.32563,-18.218834,-0.07533867,11.122167,10.446842,25.004347,-13.765881,-11.583918,16.927475,8.420149,28.10047,0.099426225,0.16185965,-26.08812,-38.093193,21.817232,-0.12699704,-25.13273,-10.785798,-9.557071,11.907682,0.17832938,17.908184,7.885456,12.201956,-0.20579906,-0.4444779,-19.446344,9.423273,-5.1708794,12.12521,25.673288,-32.70352,-22.585182,-24.704699,-11.131008,22.709513,-18.058474,5.314344,34.612232,-24.154026,6.00294,-19.319021,8.756673,11.886857,-0.6996126,-0.082719535,17.022734,-13.210543,0.20109822,-29.819386,-10.173456,24.75157,17.714272,-0.28147814,22.210583,19.570911,-16.067566,-21.05013,-17.48964,-0.09008487,20.093962,33.746502,-0.14451468,-13.453264,-31.212187,28.173346,-0.039284173,-28.281273,-22.256578,-0.034308128,21.577673,0.4196859,-31.791597
CASE23,CASE23_03,123.205,data/train/CASE23/image/CASE23_03,data/train/CASE23/meta/CASE23_03,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,3445111,39.04012,-42.242035,0.24865068,4.729639,20.136707,32.207275,-22.427425,-24.238338,9.447378,-22.03239,-15.964129,30.507532,-15.183452,-27.265245,0.29709953,0.40407822,37.596695,-1.5127554,0.012837995,18.925007,-37.37364,34.326603,16.349146,0.12298638,27.052137,0.07254643,-4.0784693,34.471184,0.0046589896,-0.15546347,-7.6280456,-35.774445,-31.01597,-10.982688,23.622192,-9.415853,22.971516,-27.083565,-34.625713,33.253754,-1.2172997,-25.75846,21.84179,-33.081303,33.923565,-23.293627,-31.390959,-22.340548,-29.492918,24.549397,-34.022144,0.08713643,0.8092629,34.219826,38.66693,-20.960428,0.06167177,12.949455,12.152061,29.2163,-16.072535,-13.473008,19.714327,9.770443,32.328785,0.21058235,0.49253368,-29.689741,-44.10194,25.19503,-0.36313897,-28.729237,-12.306711,-11.212542,13.659549,0.28919533,20.513708,9.118741,14.124308,-0.034923732,-0.4821807,-22.467049,10.870866,-6.0463986,14.158035,30.000677,-37.9882,-26.278744,-28.239948,-13.070254,26.626667,-20.876755,6.171541,40.149082,-27.71319,6.9262977,-22.3602,10.088152,13.856905,-0.78208107,0.16042691,19.588314,-15.272456,0.28418922,-34.705658,-11.690294,28.429296,20.571465,-0.38561225,25.63243,22.540064,-18.634552,-24.390432,-20.148882,-0.13439305,23.057013,39.161453,-0.26461622,-15.738002,-35.9878,32.63527,-0.14257993,-32.598236,-25.454662,0.025568513,25.094822,0.20613568,-37.017475
CASE23,CASE23_04,169.785,data/train/CASE23/image/CASE23_04,data/train/CASE23/meta/CASE23_04,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,3766132,42.067932,-45.70171,0.29741958,5.072874,21.660238,34.572166,-24.401697,-26.456038,10.330284,-23.749992,-17.270971,33.14252,-16.451754,-29.350311,0.25579524,0.23331964,40.68497,-1.8920879,-0.1818907,20.42685,-40.39752,37.05309,17.80017,0.25695938,29.23672,0.16894984,-4.2904806,37.135296,-0.22064693,0.027259335,-8.332039,-38.61428,-33.418102,-11.750969,25.873503,-10.067182,24.96255,-29.27618,-37.602703,36.00117,-1.4240996,-27.90579,23.614992,-35.818817,36.51123,-25.42311,-33.875225,-24.031738,-31.819803,26.644285,-36.637783,0.14556171,0.68959314,37.21514,41.87518,-22.802279,-0.0036105886,13.958129,12.940672,31.481989,-17.457119,-14.288625,21.230856,10.6507225,34.88235,0.32754952,0.60863453,-32.01248,-47.849884,27.211733,-0.36273745,-31.049578,-13.279374,-12.243728,14.777322,0.36706623,22.168922,9.942333,15.32956,0.10427509,-0.3455868,-24.305634,11.745805,-6.493339,15.312128,32.44432,-41.065453,-28.172222,-30.504208,-14.441428,28.877407,-22.536348,6.498087,43.368073,-30.0028,7.64083,-24.318829,10.997394,14.943747,-0.66388685,0.13220105,20.940548,-16.640903,0.06111541,-37.810543,-12.680643,30.76297,22.228203,-0.36653835,27.537195,24.24782,-20.119465,-26.277275,-21.634882,-0.20497665,24.942394,42.48996,-0.18653098,-16.938282,-39.0377,35.114986,0.051546868,-35.22786,-27.570366,0.016769879,27.144617,0.15556343,-40.117233
CASE23,CASE23_05,192.064,data/train/CASE23/image/CASE23_05,data/train/CASE23/meta/CASE23_05,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,4253758,40.79898,-44.479153,0.29326192,4.8098407,21.256207,33.76694,-23.619879,-25.849545,9.94246,-23.434116,-16.83763,32.220497,-15.972026,-28.543905,0.1150662,0.1953141,39.740715,-1.600275,-0.22708727,19.836292,-39.33523,35.975468,17.290554,0.12616906,28.589575,0.18867446,-4.150272,36.273773,-0.06014876,0.0010887692,-8.174504,-37.681038,-32.424946,-11.47532,25.287537,-9.817,24.313633,-28.754019,-36.831814,35.0578,-1.3447069,-27.117891,23.051014,-34.88946,35.528656,-24.581219,-32.972336,-23.546064,-30.936275,25.726984,-35.80006,0.015382109,0.81410867,36.199528,40.642735,-22.151478,-0.10322463,13.504735,12.494913,30.543713,-17.037722,-13.961545,20.700611,10.315139,33.94684,0.23303205,0.7227046,-31.398718,-46.538754,26.571882,-0.18542384,-30.20532,-12.951187,-11.747015,14.393415,0.27374452,21.56148,9.776275,15.075075,0.09051052,-0.40665898,-23.691017,11.316164,-6.270567,14.973577,31.48292,-39.906723,-27.381544,-29.875916,-13.909481,27.996246,-21.837881,6.255179,42.245968,-29.065329,7.404659,-23.761648,10.792165,14.584367,-0.7383889,0.057233185,20.500208,-16.068619,0.17703362,-36.760136,-12.427669,30.161488,21.664913,-0.3942046,26.858173,23.57703,-19.553928,-25.515991,-21.00907,-0.07809088,24.247429,41.48221,-0.23341137,-16.402586,-38.07575,34.230774,-0.05894968,-34.313316,-26.986387,-0.035194997,26.396677,0.14855431,-39.09592
CASE23,CASE23_06,180.948,data/train/CASE23/image/CASE23_06,data/train/CASE23/meta/CASE23_06,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,4021210,46.753235,-50.83537,0.32756826,5.5388513,24.069063,38.182346,-26.810091,-29.288599,11.293526,-26.43204,-19.147194,36.9399,-18.24357,-32.745827,0.37748778,0.34113035,45.430798,-1.9827924,-0.3856325,22.91868,-44.91461,41.28922,19.56235,0.28045195,32.769108,0.2811663,-4.872795,41.506813,-0.13043804,0.05060611,-9.289353,-43.00146,-37.109577,-13.213423,28.900564,-11.241899,27.987133,-32.67789,-41.572876,40.14762,-1.4217949,-30.892279,26.24169,-39.50356,40.72923,-28.24089,-37.628513,-26.670292,-35.23435,29.402895,-40.6875,0.010514073,0.8070267,41.323334,46.347763,-25.11183,-0.106505476,15.361621,14.155928,34.891163,-19.45224,-15.805557,23.297335,11.86191,38.80243,0.16601191,0.6054786,-35.726486,-53.310745,30.00882,-0.36498675,-34.50531,-14.853038,-13.237181,16.447441,0.4218108,24.69004,10.915844,17.135576,0.19590424,-0.41623124,-27.134655,12.833828,-7.050393,16.875622,35.885914,-45.580055,-31.223759,-34.08964,-15.96449,32.03486,-24.916601,7.2753224,48.356377,-33.13028,8.404746,-27.05315,12.308488,16.521433,-0.67692834,0.13209774,23.199272,-18.396667,0.24153025,-42.139847,-14.11182,34.251778,24.655674,-0.5117909,30.611404,26.985937,-22.347034,-29.127151,-24.06442,-0.4249769,27.619183,47.323196,-0.2284039,-18.627234,-43.500477,39.011604,-0.03230555,-39.070286,-30.857435,-0.30643255,30.170988,0.3835932,-44.53059
CASE23,CASE23_07,182.016,data/train/CASE23/image/CASE23_07,data/train/CASE23/meta/CASE23_07,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,4967530,40.853245,-44.418617,0.17395085,4.843155,21.22729,33.711308,-23.302925,-25.315256,9.9183,-23.39344,-16.884178,32.227207,-15.920994,-28.717155,0.18936314,0.4549599,39.731438,-1.667207,-0.08960913,20.11641,-39.357243,36.160294,17.162477,0.06855515,28.726427,0.028404536,-4.296724,36.492496,-0.068444595,-0.08583032,-8.044101,-37.565907,-32.54427,-11.687444,24.900833,-9.908303,24.145601,-28.69287,-36.394337,35.008656,-1.3281021,-27.06664,23.024462,-34.52266,35.697212,-24.416342,-32.951466,-23.54797,-31.107836,25.755358,-35.81031,0.17389032,0.83846265,35.90405,40.528667,-22.003372,-0.20775026,13.323916,12.606361,30.495989,-16.92199,-14.092078,20.337328,10.218733,34.02237,0.01456552,0.29089814,-31.474241,-46.47029,26.382792,-0.36092338,-30.26286,-13.115382,-11.562203,14.617107,0.41356298,21.630383,9.4983635,14.972339,-0.0718292,-0.5597189,-23.625357,11.283775,-6.050038,14.827122,31.255451,-39.84448,-27.348305,-29.97369,-13.703309,27.89696,-21.893051,6.552289,42.132656,-29.174608,7.3790464,-23.582613,10.690416,14.313477,-0.88706785,-0.058949724,20.537354,-16.16952,0.39297834,-36.56475,-12.336879,29.832323,21.503813,-0.49034813,26.93742,23.752209,-19.706205,-25.570963,-21.169352,-0.11177016,24.312494,41.21734,-0.29939225,-16.377176,-37.98963,34.29582,-0.06629202,-34.224777,-27.062834,-0.19234955,26.376736,0.4981293,-38.727093
CASE23,CASE23_08,178.35,data/train/CASE23/image/CASE23_08,data/train/CASE23/meta/CASE23_08,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,4978678,35.398182,-38.605545,0.023278994,4.1778545,18.325596,29.483276,-19.827236,-21.500376,8.717986,-20.20787,-14.550898,27.745525,-13.692729,-25.026127,0.36577198,0.5014509,34.29497,-1.4337671,0.0840219,17.598656,-34.230965,31.58086,14.757471,-0.0019033458,24.960012,-0.09393549,-3.8237965,31.797506,0.06482899,-0.2565463,-6.894997,-32.63024,-28.267265,-10.504603,21.20429,-8.719185,20.889942,-24.809484,-31.180859,30.209476,-1.2462676,-23.421785,20.101398,-29.510262,31.223553,-21.003256,-28.644028,-20.439152,-27.077219,22.35655,-31.064978,0.20539199,0.83968765,30.747492,35.124683,-18.948364,-0.30544204,11.381036,11.117048,26.399029,-14.611429,-12.295945,17.596283,8.801987,29.724281,-0.16603406,-0.31136554,-27.381472,-40.08083,22.873056,-0.4869321,-26.24833,-11.5429125,-10.180299,12.654773,0.4455873,18.779636,8.035087,12.8438425,-0.14850238,-0.61114055,-20.41859,9.919637,-5.224339,12.7920265,26.966276,-34.38282,-23.961256,-26.200602,-11.739948,24.0773,-18.9808,5.806822,36.479805,-25.501442,6.249389,-20.171654,9.107055,12.223975,-1.0063431,-0.16924945,18.014528,-14.015913,0.4582081,-31.385214,-10.519613,25.691689,18.524595,-0.43262812,23.42888,20.745836,-17.256372,-22.193396,-18.543459,-0.10414124,21.187742,35.493847,-0.36003652,-14.309817,-32.899498,29.810898,-0.24465755,-29.54503,-23.484423,-0.1665027,22.791529,0.49531752,-33.276814
CASE23,CASE23_09,207.206,data/train/CASE23/image/CASE23_09,data/train/CASE23/meta/CASE23_09,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,4629067,35.695335,-38.925453,0.14330137,4.170917,18.52536,29.869492,-20.267902,-21.91803,8.660997,-20.636415,-14.756868,27.950914,-13.932573,-24.994108,0.23741432,0.5036957,34.554314,-1.2810652,0.056157514,17.384808,-34.31764,31.750196,14.953966,0.057374083,25.087273,-0.11876904,-3.7454536,31.747017,-0.107287645,-0.16145366,-6.94898,-32.766705,-28.526434,-10.404654,21.286814,-8.658675,20.839764,-25.238821,-31.694395,30.497774,-1.166991,-23.867245,20.132378,-30.184591,31.049463,-20.988497,-28.804447,-20.680702,-27.210083,22.309153,-31.341785,0.29218987,0.87956345,31.047007,35.24222,-19.139923,-0.14791182,11.625571,11.166959,26.732882,-14.709872,-12.311101,18.010033,8.784515,29.940676,-0.1323055,-0.026334131,-27.556799,-40.209694,23.216208,-0.544065,-26.320461,-11.727549,-10.297085,12.753743,0.32724866,18.754198,8.28129,12.976964,0.012856673,-0.59937906,-20.54839,9.938685,-5.229726,12.904499,27.281246,-34.656345,-24.093454,-26.236006,-11.936225,24.196737,-19.032732,5.7294335,36.599552,-25.76478,6.384865,-20.345167,9.32748,12.319816,-0.99907255,-0.1342732,18.164696,-14.191133,0.45935944,-31.650496,-10.668323,25.934498,18.667725,-0.38357192,23.597328,20.734375,-17.30563,-22.346317,-18.574862,0.077634774,21.35723,35.71565,-0.44761574,-14.541079,-33.11307,29.932634,-0.15720537,-29.759476,-23.517124,-0.084695086,23.014065,0.49961507,-33.63179
CASE30,CASE30_01,0.0,data/train/CASE30/image/CASE30_01,data/train/CASE30/meta/CASE30_01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,14,10.741345,-13.084412,0.3801179,1.0068042,6.036599,9.227252,-6.1150036,-6.8626957,3.245738,-6.7759986,-5.072349,9.333463,-4.419484,-6.9726014,-0.3156601,-0.3485208,10.941754,-1.044394,0.043873187,4.618089,-10.888652,10.359607,4.9072304,0.025982384,7.799792,-0.2833623,-1.134473,9.232189,-1.269352,0.6137579,-2.857478,-9.879179,-8.686946,-3.432604,7.357604,-2.368933,6.1549172,-8.740646,-10.045994,9.131975,-0.98442566,-7.4057612,6.1245756,-9.571777,9.540915,-6.727238,-8.7988205,-6.370353,-8.736516,7.542763,-9.306873,0.53267807,0.6094659,9.2935505,10.752539,-6.156777,-0.08561572,2.8063502,3.5063035,8.313892,-4.4764915,-3.41969,5.349598,2.7588751,9.544723,-0.9713967,-0.84124166,-8.908206,-12.665552,6.8184977,-0.39228374,-8.135528,-4.1817203,-3.3709989,4.610675,-0.61248136,5.9464827,3.033402,3.9073045,0.105640665,0.6722402,-6.352144,3.3365626,-1.4866297,4.2502513,8.72207,-10.352411,-7.773295,-9.115307,-4.0923686,7.4844418,-5.582613,1.5141103,11.411201,-8.220514,2.493613,-6.6050067,3.3619862,3.6330833,0.41217113,-0.23858245,5.726865,-5.1967587,-0.45912594,-10.034612,-3.3167682,8.16472,5.5469284,0.3194076,7.00582,6.579611,-5.126802,-6.925727,-5.702016,-0.22564697,7.4083047,11.135493,-0.66018885,-4.5294437,-10.750934,9.145548,0.50010794,-9.788287,-8.063376,-0.0105102435,6.642586,0.10514703,-10.130589
