id,target,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
56,1,Female,Loyal Customer,22,Personal Travel,Eco,1542,0,1,0,3,2,0,2,2,2,2,3,1,3,2,0,0.0
87,1,Male,Loyal Customer,69,Personal Travel,Eco,1428,0,1,0,4,4,0,4,4,4,4,3,2,3,4,0,0.0
93,1,Female,Loyal Customer,23,Personal Travel,Eco Plus,1546,0,2,0,1,5,0,5,5,3,3,5,5,5,5,0,2.0
121,1,Female,Loyal Customer,33,Personal Travel,Eco Plus,2359,0,2,0,3,3,0,4,3,2,1,4,4,4,3,0,0.0
181,1,Male,Loyal Customer,7,Personal Travel,Eco,1817,0,3,0,1,1,0,1,1,1,2,2,1,3,1,1,5.0
199,1,Female,Loyal Customer,42,Personal Travel,Business,1794,0,3,0,3,5,3,4,4,4,0,4,3,4,3,10,0.0
205,1,Male,Loyal Customer,23,Personal Travel,Eco,2858,0,3,0,3,5,0,5,5,3,3,4,4,3,5,0,14.0
292,1,Female,Loyal Customer,36,Personal Travel,Eco Plus,1254,0,4,0,1,1,0,1,1,3,4,4,3,5,1,4,0.0
319,1,Female,Loyal Customer,26,Personal Travel,Eco,2518,0,4,0,2,1,0,1,1,4,5,4,5,4,1,0,4.0
321,1,Female,Loyal Customer,31,Personal Travel,Eco,2051,0,4,0,2,5,0,5,5,3,5,4,4,5,5,0,0.0
330,1,Male,Loyal Customer,56,Personal Travel,Eco,2230,0,4,0,2,2,0,1,2,5,3,4,3,5,2,1,0.0
350,1,Male,Loyal Customer,32,Personal Travel,Eco Plus,3442,0,4,0,3,0,5,5,1,4,3,5,5,4,5,0,0.0
365,1,Female,Loyal Customer,34,Personal Travel,Eco,3160,0,4,0,3,4,0,4,4,5,5,3,4,5,4,17,1.0
390,1,Female,Loyal Customer,64,Personal Travel,Eco,624,0,4,0,3,4,4,4,1,1,0,3,4,1,5,0,0.0
391,1,Female,Loyal Customer,22,Personal Travel,Eco,1807,0,4,0,3,2,0,2,2,4,2,3,3,4,2,7,59.0
552,1,Male,Loyal Customer,25,Personal Travel,Eco,1788,0,5,0,1,2,0,2,2,5,4,5,3,4,2,0,0.0
575,1,Male,Loyal Customer,37,Personal Travel,Eco,1560,0,5,0,1,5,0,5,5,4,3,5,4,5,5,0,0.0
